No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,DATA ANALYSIS IN PUBLIC SERVICE (FIRE AND RESCUE),7.500,221,PEMBELAJARAN
3,PENGISI ACARA,KONSER MAGNIFICAT 3 DESEMBER 2022,4.200,221,PARTISIPASI/PRESTASI
4,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - WEBINAR ""AUTOMATION AND IT MODERNIZATION"", JUMAT - 14 OKT 2022",1.500,221,PEMBELAJARAN
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,WORKSHOP GETTING FAMILIAR WITH DJANGO  2022,2.300,221,PEMBELAJARAN
7,PENGISI ACARA,CONCERT CHARITY PART OF YOU 2023,8.400,222,PARTISIPASI/PRESTASI
8,WAKIL MAHASISWA : PESERTA/PENDENGAR,DATA SCIENCE: THE KEY TO UNLOCKING YOUR CAREER POTENTIAL WEBINAR,7.500,222,PEMBELAJARAN
9,PESERTA UKM,KEGIATAN KLUB ORKESTRA 2022-2023,10.000,222,PARTISIPASI/PRESTASI
10,WAKIL MAHASISWA : PESERTA/PENDENGAR,MAXIMIZE YOUR TALENT,2.300,222,PEMBELAJARAN
11,PENGISI ACARA/PENGMAS 5ASPEK,PENGISI ACARA DIES NATALIS INFORMATIKA 25 MEI 2023,2.100,222,PARTISIPASI/PRESTASI
12,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
13,ANGGOTA/ANGGOTA HIMA ANGGOTA DIVISI ACARA,"WELCOME, GRATEFUL GENERATION 2023",9.900,222,ORGANISASI & KEPEMIMPINAN
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,ACCOUNTING TALK,7.500,231,PEMBELAJARAN
15,HARAPAN 1,DIES NATALIS AMN SURABAYA KE-1,6.000,231,PEMBELAJARAN
16,ANGGOTA/ANGGOTA HIMA ACARA,"IRGL 2023 - SABTU, 21 OKTOBER 2023",9.900,231,ORGANISASI & KEPEMIMPINAN
17,HARAPAN 1,LOMBA KARYA TULIS ILMIAH NASIONAL,6.000,231,PEMBELAJARAN
18,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
20,ANGGOTA/ANGGOTA HIMA ACARA,SOSIALISASI KESEKRETARIATAN DAN KEBENDAHARAAN 2023/2024,6.600,231,ORGANISASI & KEPEMIMPINAN
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,ADVANCEMENTS IN AI TEXT2SQL RAG AND VECTOR DATABASES,7.500,232,PEMBELAJARAN
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,BOOTCAMP PCU CHOIR AND ORCHESTRA 2024,1.500,232,PENGABDIAN MASYARAKAT
23,PENGISI ACARA/PENGMAS 5ASPEK,DIES NATALIS INFORMATIKA KE-26,2.100,232,PARTISIPASI/PRESTASI
24,ANGGOTA/ANGGOTA HIMA ACARA,DYNAMIC CAREER CHANGES IN THE AGE OF DIGITAL TRANSFORMATION 2024,8.300,232,ORGANISASI & KEPEMIMPINAN
25,PENGISI ACARA/PENGMAS 5ASPEK,KONSER GABUNGAN PETRA YOUTH ORCHESTRA,5.300,232,PARTISIPASI/PRESTASI
26,WAKIL MAHASISWA : PESERTA/PENDENGAR,OPENING WGG 2024 (ORKESTRA),3.000,232,PARTISIPASI/PRESTASI
27,WAKIL MAHASISWA : PESERTA/PENDENGAR,ORCHESTRA NATAL HE IS COMING,3.000,232,PARTISIPASI/PRESTASI
28,PENGISI ACARA/PENGMAS 5ASPEK,PASKAH UNIVERSITAS 2024,4.200,232,PARTISIPASI/PRESTASI
29,ANGGOTA,"PELATIHAN MICROSOFT OFFICE, GOOGLE DOCS DAN CANVA UNTUK SISWA SD KRISTEN YBPK SURABAYA",1.000,232,PENGABDIAN MASYARAKAT
30,ANGGOTA/ANGGOTA HIMA ACARA,"PENGABDIAN MASYARAKAT ""SCRATCH THE COMMANDER"" 2024",1.000,232,PENGABDIAN MASYARAKAT
31,SEKRETARIS/ BENDAHARA UKM,PENGURUS ORCHESTRA 23/24,20.000,232,ORGANISASI & KEPEMIMPINAN
32,WAKIL MAHASISWA : PESERTA/PENDENGAR,"PPM : PELATIHAN MICROSOFT OFFICE, GOOGLE DOCS DAN CANVA, 2 FEBRUARI Â 7 JUNI 2024,GENAP",0.750,232,PENGABDIAN MASYARAKAT
33,PENGISI ACARA/PENGMAS 5ASPEK,PRE COMPETITION SICF 2024 (PENGISI),4.200,232,PARTISIPASI/PRESTASI
34,ANGGOTA,SERVANT LEADERSHIP TRAINING 2024,6.600,232,ORGANISASI & KEPEMIMPINAN
35,ANGGOTA/ANGGOTA HIMA ACARA,TALKSHOW FROM CAMPUS TO CAREER 2024,3.300,232,ORGANISASI & KEPEMIMPINAN
36,WAKIL MAHASISWA : PESERTA/PENDENGAR,"TALKSHOW INNOVATE, INVEST, INSPIRE 2024",4.500,232,PEMBELAJARAN
37,ANGGOTA/ANGGOTA HIMA COACH,INFORMATICS COMMITTEE CLUB 2024,3.300,241,ORGANISASI & KEPEMIMPINAN
38,KOORDINATOR/ANGGOTA BKU/BPMF DIVISI ACARA,WELCOME GRATEFUL GENERATION PROGRAM STUDI INFORMATIKA 2024,3.900,241,ORGANISASI & KEPEMIMPINAN
39,PENGISI ACARA/PENGMAS 5ASPEK,"WELCOME, GRATEFUL GENERATION 2024",4.200,241,PARTISIPASI/PRESTASI
40,KOORDINATOR/ANGGOTA BKU/BPMF KOORD.DIVISI ACARA,INFORMATICS RALLY GAMES AND LOGIC 2024,15.600,242,ORGANISASI & KEPEMIMPINAN
41,KOORDINATOR/ANGGOTA BKU/BPMF ACARA (WAKIL),PETRA PARADE 2025,11.700,242,ORGANISASI & KEPEMIMPINAN
42,WAKIL MAHASISWA : PESERTA/PENDENGAR,KEJAR MIMPI WEALTH FEST,6.000,251,PEMBELAJARAN
