No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,STARTUP SHARING SESSION METAVERSE IN EDUCATION CREATING FUTURE SKILLED WORKFORCE,6.000,221,PEMBELAJARAN
4,WAKIL MAHASISWA : PESERTA/PENDENGAR,TUTORIAL PEMROGRAMAN SEMESTER GASAL 2022,2.300,221,PEMBELAJARAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,BUSINESS X CONTENT CREATION WEBINAR,7.500,222,PEMBELAJARAN
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,CHARACTER AND RELATIONSHIP ENHANCEMENT (CARE) 2023,6.000,222,PEMBELAJARAN
7,ANGGOTA/ANGGOTA HIMA PERLENGKAPAN DAN KEAMANAN,FESTIVE 2023,16.500,222,ORGANISASI & KEPEMIMPINAN
8,WAKIL MAHASISWA : PESERTA/PENDENGAR,INCLUSIVE CAREER: PELATIHAN MENULIS DOKUMEN KARIR BAGI ANAK- ANAK BERKEBUTUHAN KHUSUS,0.750,222,PENGABDIAN MASYARAKAT
9,PESERTA UKM,KEGIATAN RUTIN UKM MARTOGRAFI,10.000,222,PARTISIPASI/PRESTASI
10,WAKIL MAHASISWA : PESERTA/PENDENGAR,MAXIMIZE YOUR TALENT,2.300,222,PEMBELAJARAN
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,"PPM : PELATIHAN FROM SCRATCH TO HATCH, 5 JULI 2023",0.750,222,PENGABDIAN MASYARAKAT
12,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR BETTER PERSON BRIGHTER FUTURE 2023,1.500,222,PEMBELAJARAN
13,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,STUDY WITH FUN  2022,3.000,222,PARTISIPASI/PRESTASI
15,ANGGOTA/ANGGOTA HIMA ANGGOTA DIVISI ACARA,"WELCOME, GRATEFUL GENERATION 2023",9.900,222,ORGANISASI & KEPEMIMPINAN
16,WAKIL MAHASISWA : PESERTA/PENDENGAR,FELLOWSHIP LK-KBM 2023,3.000,231,PEMBELAJARAN
17,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
18,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
19,KOORDINATOR/ANGGOTA BKU/BPMF ACARA,TUTORIAL UJIAN AKHIR SEMESTER 2024,3.900,231,ORGANISASI & KEPEMIMPINAN
20,ANGGOTA/ANGGOTA HIMA ANGGOTA HRD,BADAN EKSEKUTIF MAHASISWA 2023-2024,22.000,232,ORGANISASI & KEPEMIMPINAN
21,PENGISI ACARA/PENGMAS 5ASPEK,DIES NATALIS INFORMATIKA KE-26,2.100,232,PARTISIPASI/PRESTASI
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,DYNAMIC CAREER CHANGES IN THE AGE OF DIGITAL TRANSFORMATION 2024,3.800,232,PEMBELAJARAN
23,ANGGOTA,EPICLAIR 2024,16.500,232,ORGANISASI & KEPEMIMPINAN
24,ANGGOTA/ANGGOTA HIMA ACARA,HUT LK-KBM 2024,6.600,232,ORGANISASI & KEPEMIMPINAN
25,WAKIL MAHASISWA : PESERTA/PENDENGAR,LKMM-TM 2024,3.000,232,PEMBELAJARAN
26,WAKIL MAHASISWA : PESERTA/PENDENGAR,OUTSOURCE INTENSIVE LEADERSHIP TRAINING 1  2024,3.000,232,PEMBELAJARAN
27,WAKIL MAHASISWA : PESERTA/PENDENGAR,OUTSOURCE INTENSIVE LEADERSHIP TRAINING 2 2024,3.000,232,PEMBELAJARAN
28,WAKIL MAHASISWA : PESERTA/PENDENGAR,RAPAT AKHIR BEM  2024,3.000,232,PEMBELAJARAN
29,KOORDINATOR/ANGGOTA BKU/BPMF ACARA,SARASEHAN ORANG TUA MAHASISWA BARU TAHUN 2024,5.900,232,ORGANISASI & KEPEMIMPINAN
30,SEKRETARIS,SERVANT LEADERSHIP TRAINING 2024,8.400,232,ORGANISASI & KEPEMIMPINAN
31,SEKRETARIS,"TALKSHOW INNOVATE, INVEST, INSPIRE 2024",12.600,232,ORGANISASI & KEPEMIMPINAN
32,KETUA,RAPAT KERJA BEM PERIODE 2024/2025,12.000,241,ORGANISASI & KEPEMIMPINAN
33,WAKIL MAHASISWA : PESERTA/PENDENGAR,SOSIALISASI KESEKRETARIATAN DAN KEBENDAHARAAN,3.000,241,PEMBELAJARAN
34,WAKIL MAHASISWA : PESERTA/PENDENGAR,WORKSHOP INTERNSHIP PREPARATION WITH KINOBI 2024,3.000,241,PEMBELAJARAN
35,KOORDINATOR/ANGGOTA BKU/BPMF KEPALA DEPARTEMEN HUMAN RESOURCE DEPARTMENT (HRD),BADAN EKSEKUTIF MAHASISWA 2025 - RISE,26.000,242,ORGANISASI & KEPEMIMPINAN
36,WAKIL MAHASISWA : PESERTA/PENDENGAR,HUT LK-KBM 2024,3.000,242,PEMBELAJARAN
37,ANGGOTA/ANGGOTA HIMA WAKIL KOORD.DIVISI ACARA,INFORMATICS RALLY GAMES AND LOGIC 2024,13.200,242,ORGANISASI & KEPEMIMPINAN
38,WAKIL MAHASISWA : PESERTA/PENDENGAR,KEJAR MIMPI WEALTH FEST,6.000,251,PEMBELAJARAN
