No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,HOW CONSULTANT HELP BUSINESSES CREATE VALUE THROUGH DATA,7.500,231,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,KULIAH INDUSTRI DESAIN INTERIOR (KIDI) 2023,6.000,231,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNICAL PROGRAM MANAGEMENT IN B2B VS B2C WEBINAR,7.500,231,PEMBELAJARAN
4,PESERTA,WEBINAR TIPS KESEHATAN MATA DI ERA DIGITAL,3.000,231,PEMBELAJARAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,WHY DO COMPANIES MIGRATE THEIR DATA AND APPLICATIONS TO THE CLOUD WEBINAR,7.500,231,PEMBELAJARAN
6,"ANGGOTA/ANGGOTA HIMA PUBLIKASI, DEKORASI, DOKUMENTASI",DYNAMIC CAREER CHANGES IN THE AGE OF DIGITAL TRANSFORMATION 2024,8.300,232,ORGANISASI & KEPEMIMPINAN
7,ANGGOTA/ANGGOTA HIMA PUBLIC RELATION & SPONSOR,FESTIVE 2024,16.500,232,ORGANISASI & KEPEMIMPINAN
8,PESERTA UKM,KEGIATAN RUTIN UKM MARTOGRAFI 2024,10.000,232,PARTISIPASI/PRESTASI
9,ANGGOTA,PANITIA WISUDA KE- 85,6.600,232,ORGANISASI & KEPEMIMPINAN
10,PESERTA,SERVANT LEADERSHIP TRAINING 2024,3.000,232,PEMBELAJARAN
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 23/24 (5/2/24 - 28/6/24)",2.000,232,PENGABDIAN MASYARAKAT
12,WAKIL MAHASISWA : PESERTA/PENDENGAR,STUDY WITH FUN  2023,3.000,232,PARTISIPASI/PRESTASI
13,ANGGOTA/ANGGOTA HIMA ASISTEN PENGAJAR,BEBRAS CHALLENGE 2024,1.250,241,PENGABDIAN MASYARAKAT
14,KOORDINATOR/ANGGOTA BKU/BPMF DIVISI PDD,HUNTING BESAR SARANGAN 2025,7.800,241,ORGANISASI & KEPEMIMPINAN
15,"ANGGOTA/ANGGOTA HIMA ANGGOTA DIVISI DIVISI PUBLIKASI, DOKUMENTASI DAN DEKORASI",IMPARTATION CAMP (I-CAMP) 2024,6.600,241,ORGANISASI & KEPEMIMPINAN
16,ANGGOTA,PANITIA WISUDA 86,6.600,241,ORGANISASI & KEPEMIMPINAN
17,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMATERI PCU EXPO,3.800,241,PEMBELAJARAN
18,ANGGOTA/ANGGOTA HIMA PELATIH,PENGABDIAN MASYARAKAT BEBRAS TRAINING : INSIGHTFUL MINDS,1.250,241,PENGABDIAN MASYARAKAT
19,PESERTA,"SL KOLABORASI SERVICE LEARNING MK. PANCASILA, KEWARGANEGARAAN,-BHS. INDONESIA GASAL 24/25",2.000,241,PENGABDIAN MASYARAKAT
20,ANGGOTA/ANGGOTA HIMA DIVISI PDD,STUDY WITH FUN 2024,6.600,241,ORGANISASI & KEPEMIMPINAN
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,CAREER SHAPING IN ENTREPRENEURIAL 2025,3.800,242,PEMBELAJARAN
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,DIES NATALIS INFORMATIKA 27,1.500,242,PEMBELAJARAN
23,KOORDINATOR/ANGGOTA BKU/BPMF DIVISI PUBLIC RELATION DAN SPONSOR,FESTIVE YOUTH INTERSALON 2025,15.600,242,ORGANISASI & KEPEMIMPINAN
24,ANGGOTA/ANGGOTA HIMA DIVISI CREATIVE,INFORMATICS RALLY GAMES AND LOGIC 2024,13.200,242,ORGANISASI & KEPEMIMPINAN
25,ANGGOTA UKM KEANGGOTAAN,KEGIATAN RUTIN UKM MARTOGRAFI 2024/2025,14.000,242,ORGANISASI & KEPEMIMPINAN
