No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,MARINA,0.750,221,PENGABDIAN MASYARAKAT
4,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR NASIONAL OUTLOOKING THE INVESTMENT WORLD,6.000,221,PEMBELAJARAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,STARTUP SHARING SESSION METAVERSE IN EDUCATION CREATING FUTURE SKILLED WORKFORCE,6.000,221,PEMBELAJARAN
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNOLOGY IMPLEMENTATION IN THE FASHION INDUSTRY,7.500,221,PEMBELAJARAN
7,"ANGGOTA/ANGGOTA HIMA PUBLIKASI, DEKORASI, DAN DOKUMENTASI (PDD)",AYE AYE CAPTAIN 2023,6.600,222,ORGANISASI & KEPEMIMPINAN
8,PESERTA UKM,KEGIATAN RUTIN UKM CATUR 2022,10.000,222,PARTISIPASI/PRESTASI
9,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
10,WAKIL MAHASISWA : PESERTA/PENDENGAR,VERITAS SEMINAR GENAP 2023,7.500,222,PEMBELAJARAN
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
12,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR MISI 2023,3.000,231,PEMBELAJARAN
13,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
14,PESERTA,EPICLAIR 2024,6.000,232,PARTISIPASI/PRESTASI
15,ANGGOTA,EPICLAIR 2024,16.500,232,ORGANISASI & KEPEMIMPINAN
16,ANGGOTA/ANGGOTA HIMA ANGGOTA,VERITAS SEMINAR GASAL 2023-2024,6.600,232,ORGANISASI & KEPEMIMPINAN
17,JUARA I_1,BYTESFEST,6.000,241,PARTISIPASI/PRESTASI
18,KOORDINATOR/ANGGOTA BKU/BPMF DIVISI INFORMASI TEKNOLOGI,INTERIOR DESIGN EXHIBITION (INDEX) 2024,19.500,241,ORGANISASI & KEPEMIMPINAN
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,DAAD GUEST LECTURE - UNLOCK GLOBAL EDUCATION WITH DAAD SCHOLARSHIP IN GERMANY,6.000,242,PEMBELAJARAN
20,WAKIL MAHASISWA : PESERTA/PENDENGAR,KEJAR MIMPI WEALTH FEST,6.000,251,PEMBELAJARAN
