No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,DATA ANALYSIS IN PUBLIC SERVICE (FIRE AND RESCUE),7.500,221,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
4,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - WEBINAR ""AUTOMATION AND IT MODERNIZATION"", JUMAT - 14 OKT 2022",1.500,221,PEMBELAJARAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,MARINA,0.750,221,PENGABDIAN MASYARAKAT
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,STARTUP SHARING SESSION METAVERSE IN EDUCATION CREATING FUTURE SKILLED WORKFORCE,6.000,221,PEMBELAJARAN
7,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNOLOGY IMPLEMENTATION IN THE FASHION INDUSTRY,7.500,221,PEMBELAJARAN
8,WAKIL MAHASISWA : PESERTA/PENDENGAR,AYE AYE CAPTAIN 2023,3.000,222,PEMBELAJARAN
9,PESERTA,BORN TO CARE 2023,1.000,222,PENGABDIAN MASYARAKAT
10,PESERTA UKM,KEGIATAN RUTIN UKM BOLA VOLI 2022,10.000,222,PARTISIPASI/PRESTASI
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR BETTER PERSON BRIGHTER FUTURE 2023,1.500,222,PEMBELAJARAN
12,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
13,WAKIL MAHASISWA : PESERTA/PENDENGAR,TALKSOW THE INFORMATICS ADVOCATE,1.500,222,PEMBELAJARAN
14,ANGGOTA/ANGGOTA HIMA ANGGOTA DIVISI IT,"WELCOME, GRATEFUL GENERATION 2023",9.900,222,ORGANISASI & KEPEMIMPINAN
15,WAKIL MAHASISWA : PESERTA/PENDENGAR,GUEST LECTURE SERIES ASPEK HUKUM PERTANAHAN PADA KAWASAN IKN,6.000,231,PEMBELAJARAN
16,WAKIL MAHASISWA : PESERTA/PENDENGAR,GUEST LECTURE SERIES IMPLEMENTASI ETIKA PROFESI PADA DUNIA KONSTRUKSI,6.000,231,PEMBELAJARAN
17,WAKIL MAHASISWA : PESERTA/PENDENGAR,HOW CONSULTANT HELP BUSINESSES CREATE VALUE THROUGH DATA WEBINAR,7.500,231,PEMBELAJARAN
18,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,PENGISIAN FAIP VIA SIMPONI,6.000,231,PEMBELAJARAN
20,WAKIL MAHASISWA : PESERTA/PENDENGAR,PERCEPTION TOWARDS CONCRETE FLOOR,6.000,231,PEMBELAJARAN
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,WHY DO COMPANIES MIGRATE THEIR DATA AND APPLICATIONS TO THE CLOUD WEBINAR,7.500,231,PEMBELAJARAN
23,ANGGOTA/ANGGOTA HIMA ANGGOTA IS,BADAN EKSEKUTIF MAHASISWA 2023-2024,22.000,232,ORGANISASI & KEPEMIMPINAN
24,ANGGOTA/ANGGOTA HIMA IT,BATTLE OF MINDS 2024,9.900,232,ORGANISASI & KEPEMIMPINAN
25,ANGGOTA/ANGGOTA HIMA TEKNOLOGI INFORMASI,BHARATIKA CREATIVE DESIGN FESTIVAL 2024,16.500,232,ORGANISASI & KEPEMIMPINAN
26,ANGGOTA/ANGGOTA HIMA IT,CAREER SHAPING IN ENTREPRENEURIAL - CAPITAL 2024,8.250,232,ORGANISASI & KEPEMIMPINAN
27,PESERTA,EPICLAIR 2024,6.000,232,PARTISIPASI/PRESTASI
28,KOORDINATOR,EPICLAIR 2024,19.500,232,ORGANISASI & KEPEMIMPINAN
29,WAKIL MAHASISWA : PESERTA/PENDENGAR,EXHIBITION INTERNAL 2024,3.000,232,PARTISIPASI/PRESTASI
30,WAKIL MAHASISWA : PESERTA/PENDENGAR,OUTSOURCE INTENSIVE LEADERSHIP TRAINING 2 2024,3.000,232,PEMBELAJARAN
31,JUARA I_1,BYTESFEST,6.000,241,PARTISIPASI/PRESTASI
32,WAKIL MAHASISWA : PESERTA/PENDENGAR,KEJAR MIMPI WEALTH FEST,6.000,251,PEMBELAJARAN
