No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,"ACCOUNTING TALK 2023 : BIG DATA, IMPACTS ON ACCOUNTING CAREER",7.500,222,PEMBELAJARAN
4,PESERTA,BORN TO CARE 2023,1.000,222,PENGABDIAN MASYARAKAT
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,BUSINESS X CONTENT CREATION WEBINAR,7.500,222,PEMBELAJARAN
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,CHARACTER AND RELATIONSHIP ENHANCEMENT (CARE) 2023,6.000,222,PEMBELAJARAN
7,WAKIL MAHASISWA : PESERTA/PENDENGAR,"INTERIOR DESIGN EXHIBITION (INDEX) 2023 ""INTERLINK""",7.500,222,PEMBELAJARAN
8,PESERTA UKM,KEGIATAN RUTIN UKM CATUR 2022,10.000,222,PARTISIPASI/PRESTASI
9,WAKIL MAHASISWA : PESERTA/PENDENGAR,MAXIMIZE YOUR TALENT,2.300,222,PEMBELAJARAN
10,WAKIL MAHASISWA : PESERTA/PENDENGAR,PETRA CHESS COMPETITION 2023,6.000,222,PARTISIPASI/PRESTASI
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,PRIME TIME 2023 2022,4.500,222,PEMBELAJARAN
12,ANGGOTA/ANGGOTA HIMA ACARA,RARE RAISE OF AWARNESS 2023,9.900,222,ORGANISASI & KEPEMIMPINAN
13,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR BCA FUTURE TALENT MEI 2023,3.000,222,PEMBELAJARAN
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR BETTER PERSON BRIGHTER FUTURE 2023,1.500,222,PEMBELAJARAN
15,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
16,WAKIL MAHASISWA : PESERTA/PENDENGAR,ACCOUNTING TALK,7.500,231,PEMBELAJARAN
17,HARAPAN 1,DIES NATALIS AMN SURABAYA KE-1,6.000,231,PEMBELAJARAN
18,ANGGOTA/ANGGOTA HIMA ACARA,"IRGL 2023 - SABTU, 21 OKTOBER 2023",9.900,231,ORGANISASI & KEPEMIMPINAN
19,ANGGOTA/ANGGOTA HIMA ACARA,KAMPUNG BINAAN MAHASISWA VII 2023,1.000,231,PENGABDIAN MASYARAKAT
20,HARAPAN 1,LOMBA KARYA TULIS ILMIAH NASIONAL,6.000,231,PEMBELAJARAN
21,PESERTA,NUNI INTERNATIONAL SEMINAR SERIES 6 - FAIR TRADE: A WAY,7.500,231,PEMBELAJARAN
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
23,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
24,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNICAL PROGRAM MANAGEMENT IN B2B VS B2C WEBINAR,7.500,231,PEMBELAJARAN
25,PENGISI ACARA/PENGMAS 5ASPEK,VENTURE FESTIVAL-TECHNOLOGY FOR SUSTAINABILITY AND BETTER FUTURE,5.300,231,PARTISIPASI/PRESTASI
26,ANGGOTA/ANGGOTA HIMA ANGGOTA PSC,BADAN EKSEKUTIF MAHASISWA 2023-2024,22.000,232,ORGANISASI & KEPEMIMPINAN
27,ANGGOTA/ANGGOTA HIMA ACARA DAN MATERI,BRAIN BOOST: BEAVER BOOTCAMP,1.000,232,PENGABDIAN MASYARAKAT
28,WAKIL MAHASISWA : PESERTA/PENDENGAR,CAREER SHAPING IN ENTREPRENEURIAL - CAPITAL 2024,3.800,232,PEMBELAJARAN
29,WAKIL MAHASISWA : PESERTA/PENDENGAR,DYNAMIC CAREER CHANGES IN THE AGE OF DIGITAL TRANSFORMATION 2024,3.800,232,PEMBELAJARAN
30,WAKIL MAHASISWA : PESERTA/PENDENGAR,OUTSOURCE INTENSIVE LEADERSHIP TRAINING 1  2024,3.000,232,PEMBELAJARAN
31,WAKIL MAHASISWA : PESERTA/PENDENGAR,OUTSOURCE INTENSIVE LEADERSHIP TRAINING 2 2024,3.000,232,PEMBELAJARAN
32,ANGGOTA/ANGGOTA HIMA,PANITIA BEBRAS CHALLENGE 2023,1.250,232,PENGABDIAN MASYARAKAT
33,ANGGOTA/ANGGOTA HIMA,PENGAWAS PELAKSANAAN BEBRAS CHALLENGE 2023,1.000,232,PENGABDIAN MASYARAKAT
34,PENULIS,PROGRAM KREATIVITAS MAHASISWA 2024,6.000,232,PEMBELAJARAN
35,WAKIL MAHASISWA : PESERTA/PENDENGAR,RAPAT AKHIR BEM  2024,3.000,232,PEMBELAJARAN
36,KOORDINATOR,SERVANT LEADERSHIP TRAINING 2024,7.800,232,ORGANISASI & KEPEMIMPINAN
37,WAKIL MAHASISWA : PESERTA/PENDENGAR,SPARK 2024,3.000,232,PARTISIPASI/PRESTASI
38,KOORDINATOR/ANGGOTA BKU/BPMF ACARA,TALKSHOW MAGANG HIMAINFRA,3.900,232,ORGANISASI & KEPEMIMPINAN
39,JUARA III_3,LO KREATIF 2024,6.000,241,PARTISIPASI/PRESTASI
40,WAKIL MAHASISWA : PESERTA/PENDENGAR,KEJAR MIMPI WEALTH FEST,6.000,251,PEMBELAJARAN
