No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,BANK PANITIA INFORMATICS COMMITTEE CLUB 2022,1.500,221,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KULIAH UMUM - CYBER SECURITY AWARENESS, JUMAT - 25 NOVEMBER 2022",1.500,221,PEMBELAJARAN
3,WAKIL MAHASISWA : PESERTA/PENDENGAR,MARINA,0.750,221,PENGABDIAN MASYARAKAT
4,ANGGOTA/ANGGOTA HIMA,SATGAS UPACARA 10 NOVEMBER 2022,6.600,221,ORGANISASI & KEPEMIMPINAN
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR NASIONAL OUTLOOKING THE INVESTMENT WORLD,6.000,221,PEMBELAJARAN
6,WAKIL MAHASISWA : PESERTA/PENDENGAR,STARTUP SHARING SESSION METAVERSE IN EDUCATION CREATING FUTURE SKILLED WORKFORCE,6.000,221,PEMBELAJARAN
7,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNOLOGY IMPLEMENTATION IN THE FASHION INDUSTRY,7.500,221,PEMBELAJARAN
8,PENGISI ACARA/PENGMAS 5ASPEK,VERITAS SEMINAR GANJIL 2022,4.200,221,PARTISIPASI/PRESTASI
9,WAKIL MAHASISWA : PESERTA/PENDENGAR,AYE AYE CAPTAIN 2023,3.000,222,PEMBELAJARAN
10,ANGGOTA/ANGGOTA HIMA PERLENGKAPAN DAN KEAMANAN,DONOR DARAH 3,3.300,222,ORGANISASI & KEPEMIMPINAN
11,WAKIL MAHASISWA : PESERTA/PENDENGAR,KAMP MAHASISWA 2023,3.000,222,PEMBELAJARAN
12,PESERTA UKM,KEGIATAN RUTIN DIKRU UKM EMR,10.000,222,PARTISIPASI/PRESTASI
13,PENGISI ACARA/PENGMAS 5ASPEK,NATAL UNIVERSITAS 2022,4.200,222,PARTISIPASI/PRESTASI
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,RETREAT KADER 2023,3.000,222,PEMBELAJARAN
15,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR BETTER PERSON BRIGHTER FUTURE 2023,1.500,222,PEMBELAJARAN
16,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR WAWASAN KEBANGSAAN TANGGAL 30 MEI 2023(1),6.000,222,PEMBELAJARAN
17,ANGGOTA/ANGGOTA HIMA PERLENGKAPAN,VERITAS SEMINAR GENAP 2023,16.500,222,ORGANISASI & KEPEMIMPINAN
18,ANGGOTA/ANGGOTA HIMA ANGGOTA DIVISI PERAN,"WELCOME, GRATEFUL GENERATION 2023",9.900,222,ORGANISASI & KEPEMIMPINAN
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,LOGOS 2023,3.000,231,PEMBELAJARAN
20,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBELAJARAN KEBERAGAMAN BANGSA INDONESIA DI SD SE-SURABAYA (PENGMAS SL),2.000,231,PENGABDIAN MASYARAKAT
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 22/23 (6/2/23 - 30/6/23)",2.000,231,PENGABDIAN MASYARAKAT
22,PESERTA,EPICLAIR 2024,6.000,232,PARTISIPASI/PRESTASI
23,WAKIL MAHASISWA : PESERTA/PENDENGAR,EXHIBITION INTERNAL 2024,3.000,232,PARTISIPASI/PRESTASI
24,ANGGOTA,FUNGSIONARIS PELAYAN MAHASISWA 2024,22.000,232,ORGANISASI & KEPEMIMPINAN
25,WAKIL MAHASISWA : PESERTA/PENDENGAR,LOGOS 2024,2.300,232,PEMBELAJARAN
26,WAKIL MAHASISWA : PESERTA/PENDENGAR,RETREAT KADER 2024,3.000,232,PEMBELAJARAN
27,KOORDINATOR/ANGGOTA BKU/BPMF KOORDINATOR,VERITAS SEMINAR GASAL 2023-2024,7.800,232,ORGANISASI & KEPEMIMPINAN
28,ANGGOTA/ANGGOTA HIMA VOLUNTEER,NATAL UNIVERSITAS 2024,6.600,241,ORGANISASI & KEPEMIMPINAN
29,ANGGOTA/ANGGOTA HIMA PERKAP,PENGUTUSAN WISUDAWAN GANJIL 2024,6.600,241,ORGANISASI & KEPEMIMPINAN
30,WAKIL MAHASISWA : PESERTA/PENDENGAR,"PERSEKUTUAN PROGRAM STUDI SYNTHESIS 1 ""BYTES & BALANCING LIFE WITH HIS GRACE""",1.500,241,PEMBELAJARAN
31,ANGGOTA/ANGGOTA HIMA ANGGOTA BIDANG PEMURIDAN,PENGURUS PELMA 2024-2025,22.000,242,ORGANISASI & KEPEMIMPINAN
32,WAKIL MAHASISWA : PESERTA/PENDENGAR,RETREAT KADER 2025,3.000,242,PEMBELAJARAN
33,ANGGOTA/ANGGOTA HIMA TRANSAKOM,LOGOS 2025,6.600,251,ORGANISASI & KEPEMIMPINAN
