No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,GUEST LECTURE - WORLD CLASS PROFESSOR,4.500,231,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNICAL PROGRAM MANAGEMENT IN B2B VS B2C WEBINAR,7.500,231,PEMBELAJARAN
3,ANGGOTA,EPICLAIR 2024,16.500,232,ORGANISASI & KEPEMIMPINAN
4,PESERTA UKM,KEGIATAN RUTIN UKM VOLI 2024,10.000,232,PARTISIPASI/PRESTASI
5,ANGGOTA/ANGGOTA HIMA,PENGAWAS PELAKSANAAN BEBRAS CHALLENGE 2023,1.000,232,PENGABDIAN MASYARAKAT
6,PESERTA,SERVANT LEADERSHIP TRAINING 2024,3.000,232,PEMBELAJARAN
7,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 23/24 (5/2/24 - 28/6/24)",2.000,232,PENGABDIAN MASYARAKAT
8,WAKIL MAHASISWA : PESERTA/PENDENGAR,TUTORIAL UAS SEMESTER GENAP 2024,1.500,232,PEMBELAJARAN
9,WAKIL MAHASISWA : PESERTA/PENDENGAR,WORKSHOP PELATIHAN LOMBA GEMASTIK II CYBER SECURITY,1.500,232,PEMBELAJARAN
10,ANGGOTA/ANGGOTA HIMA IT,INDUSTRIAL COMPETITION 2024,13.200,241,ORGANISASI & KEPEMIMPINAN
11,ANGGOTA/ANGGOTA HIMA DIVISI INFORMATION TECHNOLOGY,"PANITIA WELCOME, GRATEFUL GENERATION 2024",9.900,241,ORGANISASI & KEPEMIMPINAN
12,PESERTA,"SL KOLABORASI SERVICE LEARNING MK. PANCASILA, KEWARGANEGARAAN,-BHS. INDONESIA GASAL 24/25",2.000,241,PENGABDIAN MASYARAKAT
13,ANGGOTA/ANGGOTA HIMA IT,ADVANCED SERVANT LEADERSHIP TRAINING 2025,6.600,242,ORGANISASI & KEPEMIMPINAN
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,CAREER SHAPING IN ENTREPRENEURIAL 2025,3.800,242,PEMBELAJARAN
15,WAKIL MAHASISWA : PESERTA/PENDENGAR,DIES NATALIS INFORMATIKA 27,1.500,242,PEMBELAJARAN
16,WAKIL MAHASISWA : PESERTA/PENDENGAR,EPICLAIR: THE CHOSEN WARRIOR 2025 (INTERNUS),3.000,242,PARTISIPASI/PRESTASI
17,WAKIL MAHASISWA : PESERTA/PENDENGAR,FESTIVE YOUTH INTERSALON 2025,6.000,242,PARTISIPASI/PRESTASI
18,ANGGOTA/ANGGOTA HIMA DIVISI IT,LIFE ENRICHMENT 13 2024,6.600,242,ORGANISASI & KEPEMIMPINAN
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 COMPLEX NETWORKS: TOPOLOGICAL ANALYSIS OF CONNECTIVIT,7.500,242,PEMBELAJARAN
20,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 FINANCIAL LITERACY AND FINTECH,7.500,242,PEMBELAJARAN
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 UNDERSTANDING AND ANALYZING WORK MOTIVATION THROUGH D,7.500,242,PEMBELAJARAN
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,TRASHURE 2025,4.500,242,PEMBELAJARAN
23,ANGGOTA/ANGGOTA HIMA IT,BATTLE OF MINDS 2025,9.900,251,ORGANISASI & KEPEMIMPINAN
24,ANGGOTA/ANGGOTA HIMA IT,INNOFASHION SHOW 7,16.500,251,ORGANISASI & KEPEMIMPINAN
25,JUARA I_1,PADJADJARAN STATISTICS OLYMPIAD (RASIO) 2025,7.500,251,PARTISIPASI/PRESTASI
26,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBUATAN APLIKASI DATA JEMAAT UNTUK GEREJA KRISTEN INDONESIA MAJELIS JEMAAT PONDOK TJANDR,1.000,251,PENGABDIAN MASYARAKAT
