No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
1,WAKIL MAHASISWA : PESERTA/PENDENGAR,GUEST LECTURE - WORLD CLASS PROFESSOR,4.500,231,PEMBELAJARAN
2,WAKIL MAHASISWA : PESERTA/PENDENGAR,TECHNICAL PROGRAM MANAGEMENT IN B2B VS B2C WEBINAR,7.500,231,PEMBELAJARAN
3,PESERTA UKM,KEGIATAN RUTIN UKM VOLI 2024,10.000,232,PARTISIPASI/PRESTASI
4,ANGGOTA/ANGGOTA HIMA,PENGAWAS PELAKSANAAN BEBRAS CHALLENGE 2023,1.000,232,PENGABDIAN MASYARAKAT
5,WAKIL MAHASISWA : PESERTA/PENDENGAR,SEMINAR THE ROLE OF AI IN LOGISTIC,3.000,232,PEMBELAJARAN
6,PESERTA,SERVANT LEADERSHIP TRAINING 2024,3.000,232,PEMBELAJARAN
7,WAKIL MAHASISWA : PESERTA/PENDENGAR,"SL - KOMAL (A,B,C,D) - GENAP 23/24 (5/2/24 - 28/6/24)",2.000,232,PENGABDIAN MASYARAKAT
8,WAKIL MAHASISWA : PESERTA/PENDENGAR,TUTORIAL UAS SEMESTER GENAP 2024,1.500,232,PEMBELAJARAN
9,WAKIL MAHASISWA : PESERTA/PENDENGAR,WORKSHOP PELATIHAN LOMBA GEMASTIK II CYBER SECURITY,1.500,232,PEMBELAJARAN
10,ANGGOTA/ANGGOTA HIMA IT,INDUSTRIAL COMPETITION 2024,13.200,241,ORGANISASI & KEPEMIMPINAN
11,ANGGOTA/ANGGOTA HIMA DIVISI INFORMATION TECHNOLOGY,"PANITIA WELCOME, GRATEFUL GENERATION 2024",9.900,241,ORGANISASI & KEPEMIMPINAN
12,PESERTA,"SL KOLABORASI SERVICE LEARNING MK. PANCASILA, KEWARGANEGARAAN,-BHS. INDONESIA GASAL 24/25",2.000,241,PENGABDIAN MASYARAKAT
13,ANGGOTA/ANGGOTA HIMA IT,ADVANCED SERVANT LEADERSHIP TRAINING 2025,6.600,242,ORGANISASI & KEPEMIMPINAN
14,WAKIL MAHASISWA : PESERTA/PENDENGAR,CAREER SHAPING IN ENTREPRENEURIAL 2025,3.800,242,PEMBELAJARAN
15,WAKIL MAHASISWA : PESERTA/PENDENGAR,DIES NATALIS INFORMATIKA 27,1.500,242,PEMBELAJARAN
16,ANGGOTA/ANGGOTA HIMA INFORMATION TECHNOLOGY,EPICLAIR: THE CHOSEN WARRIOR 2025 (EXTERNUS),13.200,242,ORGANISASI & KEPEMIMPINAN
17,ANGGOTA/ANGGOTA HIMA,FESTIVAL HUT GENTA 61,1.000,242,PENGABDIAN MASYARAKAT
18,ANGGOTA/ANGGOTA HIMA,FESTIVAL HUT GENTA 61,13.200,242,ORGANISASI & KEPEMIMPINAN
19,WAKIL MAHASISWA : PESERTA/PENDENGAR,FESTIVE YOUTH INTERSALON 2025,6.000,242,PARTISIPASI/PRESTASI
20,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 COMPLEX NETWORKS: TOPOLOGICAL ANALYSIS OF CONNECTIVIT,7.500,242,PEMBELAJARAN
21,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 FINANCIAL LITERACY AND FINTECH,7.500,242,PEMBELAJARAN
22,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 UNDERSTANDING AND ANALYZING WORK MOTIVATION THROUGH D,7.500,242,PEMBELAJARAN
23,WAKIL MAHASISWA : PESERTA/PENDENGAR,TRASHURE 2025,4.500,242,PEMBELAJARAN
24,ANGGOTA/ANGGOTA HIMA DIVISI IT,"WELCOME, GRATEFUL GENERATION 2025",9.900,251,ORGANISASI & KEPEMIMPINAN
